Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS3-LambdatestPlayground,Chrome 122.0.0.0,Ecommerce site,,04-03-2024 23:41:48,04-03-2024 23:42:53,1m - 5.364s,PASSED
,,,,,,,
Test Cases/LambdaTestPlayground/TC01_Access ecommerce website,Chrome 122.0.0.0,,,04-03-2024 23:41:48,04-03-2024 23:42:00,11.720s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,04-03-2024 23:41:49,04-03-2024 23:41:51,2.771s,PASSED
"navigateToUrl(""https://ecommerce-playground.lambdatest.io/"")",Chrome 122.0.0.0,,,04-03-2024 23:41:51,04-03-2024 23:41:57,5.965s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Ecommerce/Page_Your Store/Logo""), 0)",Chrome 122.0.0.0,,,04-03-2024 23:41:57,04-03-2024 23:42:00,2.497s,PASSED
,,,,,,,
Test Cases/LambdaTestPlayground/TC02_Successful Login,Chrome 122.0.0.0,,,04-03-2024 23:42:00,04-03-2024 23:42:30,30.269s,PASSED
"callTestCase(findTestCase(""LambdaTestPlayground/TC01_Access ecommerce website""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,04-03-2024 23:42:00,04-03-2024 23:42:15,15.171s,PASSED
"click(findTestObject(""Object Repository/Ecommerce/Page_Your Store/span_My account""))",Chrome 122.0.0.0,,,04-03-2024 23:42:15,04-03-2024 23:42:23,7.869s,PASSED
"waitForElementPresent(findTestObject(""Ecommerce/Page_Account Login/input_E-Mail Address_email""), 5)",Chrome 122.0.0.0,,,04-03-2024 23:42:23,04-03-2024 23:42:24,0.495s,PASSED
"setText(findTestObject(""Object Repository/Ecommerce/Page_Account Login/input_E-Mail Address_email""), ""jorisamadhan@gmail.com"")",Chrome 122.0.0.0,,,04-03-2024 23:42:24,04-03-2024 23:42:25,0.928s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Ecommerce/Page_Account Login/input_Password_password""), ""s+D4/nQBI/t4t4P+r+MeoA=="")",Chrome 122.0.0.0,,,04-03-2024 23:42:25,04-03-2024 23:42:25,0.612s,PASSED
"click(findTestObject(""Object Repository/Ecommerce/Page_Account Login/input_Forgotten Password_btn btn-primary""))",Chrome 122.0.0.0,,,04-03-2024 23:42:25,04-03-2024 23:42:30,4.639s,PASSED
"verifyElementPresent(findTestObject(""Ecommerce/Page_My Account/h2_My Account""), 5)",Chrome 122.0.0.0,,,04-03-2024 23:42:30,04-03-2024 23:42:30,0.342s,PASSED
,,,,,,,
Test Cases/LambdaTestPlayground/TC03_Invalid Login,Chrome 122.0.0.0,,,04-03-2024 23:42:30,04-03-2024 23:42:53,22.939s,PASSED
"callTestCase(findTestCase(""LambdaTestPlayground/TC01_Access ecommerce website""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,04-03-2024 23:42:30,04-03-2024 23:42:45,14.327s,PASSED
"click(findTestObject(""Object Repository/Ecommerce/Page_Your Store/span_My account""))",Chrome 122.0.0.0,,,04-03-2024 23:42:45,04-03-2024 23:42:48,3.835s,PASSED
"waitForElementPresent(findTestObject(""Ecommerce/Page_Account Login/input_E-Mail Address_email""), 5)",Chrome 122.0.0.0,,,04-03-2024 23:42:48,04-03-2024 23:42:49,0.442s,PASSED
"setText(findTestObject(""Object Repository/Ecommerce/Page_Account Login/input_E-Mail Address_email""), ""admin"")",Chrome 122.0.0.0,,,04-03-2024 23:42:49,04-03-2024 23:42:50,0.755s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Ecommerce/Page_Account Login/input_Password_password""), ""hUKwJTbofgPskEWN4pMTBw=="")",Chrome 122.0.0.0,,,04-03-2024 23:42:50,04-03-2024 23:42:50,0.529s,PASSED
"click(findTestObject(""Object Repository/Ecommerce/Page_Account Login/input_Forgotten Password_btn btn-primary""))",Chrome 122.0.0.0,,,04-03-2024 23:42:50,04-03-2024 23:42:53,2.516s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Ecommerce/Page_Account Login/div_Warning Your account has exceeded allow_fce686""), 5)",Chrome 122.0.0.0,,,04-03-2024 23:42:53,04-03-2024 23:42:53,0.426s,PASSED
